user_id,comment_id,creation_time
6cf157a6-7b56-440e-8c96-c6f39a903aff,1,2021-11-30 16:40:55.280911+09
6cf157a6-7b56-440e-8c96-c6f39a903aff,2,2021-11-30 16:41:01.020645+09
a20bf234-d89b-4600-af33-98bf56df2e1b,6,2021-11-30 19:11:40.870921+09
a20bf234-d89b-4600-af33-98bf56df2e1b,5,2021-11-30 19:11:42.586256+09
a20bf234-d89b-4600-af33-98bf56df2e1b,4,2021-11-30 19:11:44.142207+09
6cf157a6-7b56-440e-8c96-c6f39a903aff,6,2021-11-30 19:21:07.427417+09
6cf157a6-7b56-440e-8c96-c6f39a903aff,8,2021-11-30 21:06:47.84128+09
6cf157a6-7b56-440e-8c96-c6f39a903aff,12,2021-11-30 23:00:22.821673+09
ee360834-955c-4011-88b1-a71e78ec7630,12,2021-11-30 23:07:41.711072+09
a20bf234-d89b-4600-af33-98bf56df2e1b,11,2021-12-02 02:28:09.801035+09
a20bf234-d89b-4600-af33-98bf56df2e1b,12,2021-12-02 02:28:28.078175+09
a20bf234-d89b-4600-af33-98bf56df2e1b,10,2021-12-02 02:28:30.131457+09
a20bf234-d89b-4600-af33-98bf56df2e1b,13,2021-12-02 02:28:44.068228+09
a20bf234-d89b-4600-af33-98bf56df2e1b,14,2021-12-02 19:08:20.882157+09
a20bf234-d89b-4600-af33-98bf56df2e1b,16,2021-12-02 19:08:33.315902+09
a20bf234-d89b-4600-af33-98bf56df2e1b,20,2021-12-06 01:32:29.863951+09
a20bf234-d89b-4600-af33-98bf56df2e1b,21,2021-12-06 01:32:30.828482+09
a20bf234-d89b-4600-af33-98bf56df2e1b,7,2021-12-07 16:46:04.013286+09
a20bf234-d89b-4600-af33-98bf56df2e1b,39,2021-12-09 14:54:08.320627+09
a20bf234-d89b-4600-af33-98bf56df2e1b,44,2021-12-09 17:54:52.291382+09
a20bf234-d89b-4600-af33-98bf56df2e1b,41,2021-12-09 17:54:59.742981+09
f8ae1eb1-27f2-4585-aed2-3500922840a2,46,2021-12-09 18:43:01.417531+09
ee360834-955c-4011-88b1-a71e78ec7630,51,2021-12-09 21:54:48.15769+09
ee360834-955c-4011-88b1-a71e78ec7630,46,2021-12-09 21:55:15.85167+09
a20bf234-d89b-4600-af33-98bf56df2e1b,56,2021-12-09 22:00:34.06901+09
a20bf234-d89b-4600-af33-98bf56df2e1b,57,2021-12-09 22:01:00.666877+09
a20bf234-d89b-4600-af33-98bf56df2e1b,46,2021-12-09 22:01:11.749741+09
6cf157a6-7b56-440e-8c96-c6f39a903aff,54,2021-12-11 00:54:09.21291+09
6cf157a6-7b56-440e-8c96-c6f39a903aff,57,2021-12-11 00:54:29.453788+09
a20bf234-d89b-4600-af33-98bf56df2e1b,51,2021-12-11 02:06:32.346711+09
a20bf234-d89b-4600-af33-98bf56df2e1b,67,2021-12-15 12:54:37.955709+09
a20bf234-d89b-4600-af33-98bf56df2e1b,69,2021-12-15 12:55:47.630313+09
f8ae1eb1-27f2-4585-aed2-3500922840a2,69,2021-12-15 13:00:59.749024+09
ee360834-955c-4011-88b1-a71e78ec7630,72,2021-12-15 16:18:17.614325+09
a20bf234-d89b-4600-af33-98bf56df2e1b,70,2021-12-15 16:23:06.400286+09
a20bf234-d89b-4600-af33-98bf56df2e1b,72,2021-12-15 16:23:07.922213+09
6cf157a6-7b56-440e-8c96-c6f39a903aff,76,2021-12-15 19:09:06.332184+09
6cf157a6-7b56-440e-8c96-c6f39a903aff,69,2021-12-16 12:44:59.015257+09
ee360834-955c-4011-88b1-a71e78ec7630,81,2021-12-16 19:12:35.018441+09
f8ae1eb1-27f2-4585-aed2-3500922840a2,79,2021-12-17 00:22:54.241674+09
a20bf234-d89b-4600-af33-98bf56df2e1b,82,2021-12-17 02:53:31.772709+09
a20bf234-d89b-4600-af33-98bf56df2e1b,95,2021-12-18 17:54:52.532114+09
f8ae1eb1-27f2-4585-aed2-3500922840a2,108,2021-12-18 19:09:58.545052+09
a20bf234-d89b-4600-af33-98bf56df2e1b,127,2021-12-21 18:37:43.83548+09
a20bf234-d89b-4600-af33-98bf56df2e1b,124,2021-12-21 18:38:42.035434+09
a20bf234-d89b-4600-af33-98bf56df2e1b,125,2021-12-21 18:38:43.399935+09
a20bf234-d89b-4600-af33-98bf56df2e1b,130,2021-12-21 23:25:34.236975+09
6cf157a6-7b56-440e-8c96-c6f39a903aff,130,2021-12-21 23:27:20.004006+09
6cf157a6-7b56-440e-8c96-c6f39a903aff,107,2021-12-21 23:33:14.005346+09
f8ae1eb1-27f2-4585-aed2-3500922840a2,130,2021-12-22 01:15:06.609412+09
ee360834-955c-4011-88b1-a71e78ec7630,142,2021-12-22 10:13:58.295321+09
a20bf234-d89b-4600-af33-98bf56df2e1b,146,2021-12-22 15:03:52.157284+09
a20bf234-d89b-4600-af33-98bf56df2e1b,145,2021-12-22 15:04:05.474003+09
a20bf234-d89b-4600-af33-98bf56df2e1b,142,2021-12-22 15:04:23.630733+09
a20bf234-d89b-4600-af33-98bf56df2e1b,138,2021-12-22 15:04:42.195662+09
a20bf234-d89b-4600-af33-98bf56df2e1b,137,2021-12-22 15:06:03.518024+09
a20bf234-d89b-4600-af33-98bf56df2e1b,141,2021-12-22 15:06:04.817045+09
a20bf234-d89b-4600-af33-98bf56df2e1b,144,2021-12-22 15:15:43.556683+09
f8ae1eb1-27f2-4585-aed2-3500922840a2,143,2021-12-22 15:28:26.071044+09
ee360834-955c-4011-88b1-a71e78ec7630,140,2021-12-22 21:47:03.398873+09
f8ae1eb1-27f2-4585-aed2-3500922840a2,162,2021-12-22 23:31:21.780245+09
f8ae1eb1-27f2-4585-aed2-3500922840a2,164,2021-12-22 23:32:23.998384+09
6cf157a6-7b56-440e-8c96-c6f39a903aff,164,2021-12-22 23:45:02.053952+09
0c38d215-210c-4d0b-846b-36fe7d7f848c,165,2021-12-23 08:32:44.928546+09
6cf157a6-7b56-440e-8c96-c6f39a903aff,168,2021-12-24 00:12:07.785059+09
a20bf234-d89b-4600-af33-98bf56df2e1b,164,2021-12-24 02:04:11.249659+09
a20bf234-d89b-4600-af33-98bf56df2e1b,156,2021-12-24 02:04:32.892183+09
a20bf234-d89b-4600-af33-98bf56df2e1b,166,2021-12-24 02:04:35.129457+09
a20bf234-d89b-4600-af33-98bf56df2e1b,167,2021-12-24 02:05:24.707207+09
a20bf234-d89b-4600-af33-98bf56df2e1b,170,2021-12-24 02:05:26.42951+09
a20bf234-d89b-4600-af33-98bf56df2e1b,172,2021-12-24 02:07:21.626375+09
f8ae1eb1-27f2-4585-aed2-3500922840a2,186,2021-12-25 18:21:45.162126+09
6cf157a6-7b56-440e-8c96-c6f39a903aff,187,2021-12-25 20:15:55.195273+09
a20bf234-d89b-4600-af33-98bf56df2e1b,187,2021-12-27 01:34:22.972174+09
a20bf234-d89b-4600-af33-98bf56df2e1b,168,2021-12-27 01:35:47.319259+09
